node_id,goal_id,heuristic_value,true_remaining_cost,delta,admissible
6646102380,5564620678,44993.99908075566,78618.74940259686,-33624.7503218412,True
871742742,5564620678,40197.524404549615,72247.06118505288,-32049.536780503266,True
6717983112,5564620678,132217.23064221465,193031.6880794061,-60814.45743719145,True
4873914094,5564620678,48785.0343524471,93010.03030482373,-44224.99595237662,True
12058799996,5564620678,30900.073624354995,57395.17839231775,-26495.104767962755,True
5650950095,5564620678,53629.5624155131,111164.1516431446,-57534.589227631506,True
5629865990,5564620678,26031.04262155959,57690.816364401646,-31659.773742842055,True
3923846415,5564620678,81459.65562223885,133367.08984218817,-51907.434219949326,True
6667817279,5564620678,44406.54984293306,88474.68192998118,-44068.132087048114,True
3486610074,5564620678,40009.01137750307,74412.71990596733,-34403.70852846426,True
6139229812,5564620678,52563.025528199345,80940.55143563804,-28377.5259074387,True
7676121019,5564620678,29210.947120099077,51369.257308957094,-22158.310188858017,True
10033610524,5564620678,46816.52571878681,90018.2044417887,-43201.67872300188,True
9188162801,5564620678,167271.78714063557,239541.78070396621,-72269.99356333064,True
5826886171,5564620678,38958.21855830475,69683.45895435638,-30725.24039605163,True
4989982186,5564620678,56779.79692525294,98220.44868516113,-41440.65175990819,True
10692410040,5564620678,25696.89089564179,51004.93956508541,-25308.048669443622,True
3269558100,5564620678,43154.2137779854,77125.08639371076,-33970.87261572536,True
6583449019,5564620678,121643.25443453957,391062.11037552473,-269418.85594098514,True
9764062600,5564620678,79163.57981392514,148054.6678835709,-68891.08806964575,True
3879374644,5564620678,33514.65821598625,58308.04679239882,-24793.388576412566,True
5097123615,5564620678,50224.81964487266,87330.07556586458,-37105.25592099192,True
4992233142,5564620678,58984.06189915236,107255.07598414569,-48271.01408499333,True
1794727149,5564620678,22769.69845748076,44252.906701311396,-21483.208243830635,True
4996491149,5564620678,9251.729411479193,18575.077309206325,-9323.347897727132,True
4921889805,5564620678,20343.046171253223,47733.31282979686,-27390.266658543635,True
5603859270,5564620678,32155.70198025702,55621.01259507061,-23465.310614813592,True
11308834500,5564620678,21068.211656940286,38733.5816462497,-17665.369989309416,True
5097300784,5564620678,48168.79437567176,89746.7492078544,-41577.954832182644,True
6798148678,5564620678,48261.79588387425,90282.0197931786,-42020.223909304346,True
4987878425,5564620678,16232.666315931077,39969.68131708796,-23737.015001156884,True
5617945284,5564620678,37943.23300534293,74775.31386683664,-36832.08086149371,True
7174369778,5564620678,33945.302160264626,62378.68950546795,-28433.387345203322,True
4896345997,5564620678,19662.00243731381,43475.57351287758,-23813.571075563766,True
1392394756,5564620678,46234.821809211375,80521.94080438484,-34287.11899517346,True
5613085949,5564620678,36232.922773274266,76666.58778786029,-40433.665014586026,True
5643552839,5564620678,28651.537965919393,63324.28700825594,-34672.749042336545,True
7858276926,5564620678,56671.63211082668,124888.3304696501,-68216.69835882343,True
13130767230,5564620678,76940.70297668077,151422.14694998713,-74481.44397330636,True
5097838636,5564620678,54256.73408755463,95408.94993580724,-41152.21584825261,True
6546045264,5564620678,51419.419171810594,75365.60922338722,-23946.190051576625,True
5650742750,5564620678,36898.430330021496,71328.99683874632,-34430.56650872482,True
11330514899,5564620678,51859.0471778683,89358.18274958276,-37499.13557171446,True
4874312872,5564620678,48030.66280143655,90925.51474134148,-42894.85193990493,True
12848239276,5564620678,27118.27515981202,52143.34506969358,-25025.069909881564,True
12864399559,5564620678,20912.01910883287,41942.46066145517,-21030.4415526223,True
5622298750,5564620678,37589.219160413035,77219.50056899045,-39630.281408577415,True
5662568408,5564620678,43526.009371570675,84520.32227014107,-40994.312898570395,True
10066527664,5564620678,28566.902802504035,61893.45377693633,-33326.55097443229,True
9980302586,5564620678,22803.28612613889,41914.44304510366,-19111.15691896477,True
3731342679,5564620678,41753.80025312277,70266.40421660608,-28512.603963483314,True
10012885678,5564620678,33322.60549885951,67883.9597709246,-34561.35427206509,True
4370711163,5564620678,21927.70790098982,39383.89826516407,-17456.19036417425,True
3304774963,5564620678,48926.77131755455,79468.08330292843,-30541.311985373875,True
5416777349,5564620678,133377.5015488347,312668.5405386161,-179291.03898978137,True
9888954100,5564620678,57395.40282112966,105883.00006147508,-48487.597240345414,True
5631728190,5564620678,28387.98201224983,52826.30653815311,-24438.32452590328,True
4331160200,5564620678,51372.35411061403,96106.63702927204,-44734.282918658006,True
4879637968,5564620678,43467.602731867286,88620.04414148426,-45152.44140961698,True
5068052259,5564620678,52664.49575804338,101740.07899936357,-49075.58324132019,True
12085453775,5564620678,45674.819312863925,79752.63598872843,-34077.81667586451,True
757453453,5564620678,158436.5414277736,408984.96397002763,-250548.42254225403,True
5198000636,5564620678,51333.0853351913,93847.89904880659,-42514.81371361529,True
5762871001,5564620678,40816.6517802426,66253.94416013343,-25437.292379890823,True
10171308101,5564620678,65977.21063424816,110121.12128615788,-44143.910651909726,True
12706017645,5564620678,32876.34229178343,60794.83645249913,-27918.494160715694,True
387414863,5564620678,41067.92552871388,73707.40394172222,-32639.478413008343,True
9913080409,5564620678,30919.940539393418,62545.12043247715,-31625.179893083736,True
6061094176,5564620678,68448.73776772259,140518.14759368132,-72069.40982595873,True
6153174917,5564620678,60744.55047411473,112964.27976893031,-52219.72929481558,True
9916256309,5564620678,124761.86745795446,208769.85562735115,-84007.98816939669,True
11409772348,5564620678,33678.58140041089,62873.52743552088,-29194.94603510999,True
